Gene,MeanAbsSHAP
ORMDL2,0.06252723
WWC1,0.04888578
P2RY6,0.04698066
ARPP21,0.04330662
HEATR6,0.03294247
DNASE1L1,0.026815318
MADD,0.02601554
KATNIP,0.024530815
UAP1L1,0.020646915
SNRPD3,0.02002622
UROD,0.019560078
PRRT3,0.017620234
TRIM3,0.016054178
NFIX,0.015587073
ADGRA3,0.014688144
IQGAP2,0.01430566
TOP1MT,0.013803671
EPB41L2,0.013693622
AMIGO1,0.0136523545
MYOF,0.0134288
RB1,0.013344393
NFYA,0.013293392
TSPAN6,0.01273806
SLC29A3,0.012676678
ISL1,0.012445231
ATP6V1A,0.012436562
MCOLN1,0.012177895
TSC22D2,0.011867877
BCAS3,0.01183673
HSD3B7,0.011448156
PDK2,0.0110903615
SLC38A7,0.010283135
TRAF3IP3,0.0101323435
FUCA2,0.010095586
SYP,0.009949867
LMBR1L,0.00987677
BMPR2,0.009712386
ATP6V1E2,0.009667554
C1orf112,0.00957382
SERINC3,0.009555369
ELL3,0.009446732
UHRF2,0.009339711
ANKS1B,0.009061
MAP4K5,0.009035871
H2BC17,0.008801528
SLC45A4,0.008707498
GLA,0.008594666
KCTD1,0.008354954
RIC3,0.008182253
LAMC2,0.008094138
STK31,0.0079873735
MUC3A,0.007986312
CDRT1,0.0074087563
CARD11,0.0073943106
RIC1,0.0073677297
SDC2,0.007264558
CCDC102B,0.0071521737
FAM89B,0.0071151466
DNMT3B,0.0070888833
NKX1-2,0.00706951
CKLF,0.0070648864
DCBLD1,0.006927337
SCGB1A1,0.0068702023
ADAMTSL3,0.006869336
NAGLU,0.006842394
NEU1,0.0068201926
ETHE1,0.0066345
COL3A1,0.006497907
CAV2,0.006458126
NFIL3,0.006282478
CATSPER2,0.006257756
CCDC15,0.006252954
ZHX2,0.006247265
CYP27A1,0.0060746465
UBE2D4,0.0059069283
CHST3,0.0058636465
CDKN2B,0.005723554
MYL12A,0.0057161655
ZNF286A,0.0056791943
PLOD3,0.0055950545
TFE3,0.005588352
TUBA3C,0.0054867375
ZNF548,0.005430996
PPFIA2,0.005430157
USP41,0.005421844
GSTT2B,0.005337367
NMT2,0.0053153555
CLCN6,0.005298612
PTPRZ1,0.005222838
PAQR7,0.0050871116
CD1B,0.0049880357
HOMER1,0.004938245
GLRB,0.0049191643
CCNB1IP1,0.004833354
KDM1B,0.0048212423
TM9SF1,0.00474749
RAP1GAP2,0.004703303
ASTN2,0.004648238
BAD,0.0046236496
MYCBP2,0.004602834
LIMS2,0.004574245
SCARF1,0.0045347326
ISLR,0.0044836835
SERPINA3,0.004463431
EML1,0.0044515114
SNX8,0.0044352724
GPX4,0.004424228
ZNF14,0.00442223
FGR,0.0043806206
SERP2,0.0043678395
OFD1,0.0043613394
PTPRR,0.004332629
ARHGAP11B,0.0042409757
SLC12A9,0.0041714087
BCL2,0.0041618333
POLE2,0.004149782
MINPP1,0.004113188
SARM1,0.004108793
TP53TG3D,0.0040921276
MKS1,0.0040812143
ITGB8,0.0040704557
CD7,0.004033987
NTPCR,0.0040051737
GPAT2,0.003997207
GJB3,0.0039971364
DMD,0.0039939396
RPAIN,0.003984448
PPP1R3C,0.0039837374
CCDC187,0.0039707054
KRT17,0.0039670155
PBX4,0.003946136
TP53,0.003921053
RASGRF2,0.003899703
MED30,0.0038916965
TGM2,0.0038773604
FUT8,0.0038455275
UBE2G2,0.0038380276
ACTL8,0.0038278047
INKA2,0.0038210067
TTC22,0.0037961456
LINGO1,0.0037937444
DGKA,0.0037784108
LASP1,0.003712277
MMEL1,0.0037115214
CEP68,0.003627399
ARHGAP15,0.0036257552
MGAT5B,0.0036256083
CLIP2,0.0035692893
PLPP3,0.0035394914
H2AC6,0.0034725878
RDH10,0.0034545257
CBWD6,0.0034511099
NAXE,0.0034486179
IVNS1ABP,0.0034363314
DDB2,0.003431661
ZNF774,0.0034267334
MCCC1,0.0033888996
MAPKAPK2,0.0033815093
HSPB3,0.0033596756
IGFLR1,0.0033432783
FBXL13,0.0033327288
ENKD1,0.0033218944
TCEA1,0.0033121482
COMMD3,0.0033080885
PTPRS,0.003274129
BCL2A1,0.003265649
OLFML2A,0.0032470722
HNMT,0.0032466382
SEMA3F,0.0031365508
NMRAL1,0.0031340579
ANXA6,0.0031303677
CCL26,0.0031290783
FAM135A,0.0031277072
NUDT15,0.0031242957
NOTCH4,0.0031172484
GPRC5C,0.0031143727
OAS1,0.0031100651
TGDS,0.003103413
SH3BP2,0.003093275
TPT1,0.0030916203
CSNK2A3,0.0030726006
NADK2,0.0030724856
PPP1R3B,0.0030636496
DUSP16,0.0030497836
ACKR3,0.0030468882
KIF26A,0.003001508
GSTM2,0.0029954992
FAM111A,0.002994471
B4GALNT2,0.0029912116
ADSS1,0.0029908186
CYB5R2,0.0029633967
CTBS,0.0029365558
DIRAS2,0.0028939906
KDM4A,0.0028929978
FOXO1,0.0028838506
SLC12A4,0.0028814615
MMP7,0.002879856
FAXDC2,0.002876754
ADAMTS14,0.0028506133
MOXD1,0.002845703
TLE3,0.0028404414
B4GALT6,0.0028402174
SEMA4C,0.0028284865
KCTD15,0.0028193148
SNCAIP,0.002812764
ITGA2B,0.0027914846
MGAT4A,0.0027826165
SNCG,0.0027672944
COL15A1,0.0027375882
NEURL3,0.002735404
SLC30A3,0.0027341237
RORA,0.0027289565
GADD45A,0.0027279889
MYCT1,0.0027092819
TNFAIP6,0.0026844072
ZNF219,0.0026726676
MPRIP,0.002668364
SHOX2,0.0026598212
MBTPS2,0.0026591774
AKR1C2,0.0026545732
CFH,0.0026362278
MICU3,0.0026355882
